what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318338890176
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318338890470
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318338893331
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318338895770
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318338899210
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318338899677
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318338900046
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318338900482
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338926359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318339230166
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318339232676
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318339232881
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1318339236335
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318339238537
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318339241557
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318339242507
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1318339244352
