what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1317779937182
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1317779937182
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1317779937192
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1317779937209
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1317779937210
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1317779937212
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1317779937238
os,sysinfo,,,"win32",1317779937243
arch,sysinfo,,,"x86",1317779937243
ws,sysinfo,,,"win32",1317779937243
locale,sysinfo,,,"vi_VN",1317779937243
processors,sysinfo,,,"4",1317779937243
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1317779937243
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1317779937243
java.specification.name,sysinfo,,,"Java Platform API Specification",1317779937243
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317779937243
java.specification.version,sysinfo,,,"1.6",1317779937243
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1317779937243
java.version,sysinfo,,,"1.6.0_26",1317779937243
java.vm.info,sysinfo,,,"mixed mode, sharing",1317779937243
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1317779937243
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317779937243
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317779937243
java.vm.specification.version,sysinfo,,,"1.0",1317779937243
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1317779937243
