what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318210828990
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318210831737
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210844571
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210859982
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210863724
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210876430
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210893265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210895406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210903786
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210941662
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318210947415
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318210947584
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318210947755
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318210947920
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318210948096
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318210948271
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318210948452
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318210948805
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1318210952980
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1318210960572
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210976816
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318210990739
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318211013083
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318211022823
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318211024295
