what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389168890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389367968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389378625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389419468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389428203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389521312
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389553296
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389556625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389557875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389560640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389733171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389754375
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318389754546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389756343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389782031
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389784968
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389789343
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389793531
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389798750
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389804234
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1318389829687
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389830468
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318389832343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389838703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318389912687
