what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee,1.1.300.v200905290632,"org.eclipse.jst.j2ee",1318392009484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392009765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318392009796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392014078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392034203
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318392034328
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318392034421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392037468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392044015
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1318392048156
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1318392054062
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318392067750
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318392069359
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318392074046
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318392077625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392078843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392092343
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318392095109
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1318392095453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392132203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318392136546
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1318392151421
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1318392154656
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1318392154765
started,bundle,org.eclipse.birt.report.debug.ui,2.5.0.v20090603,"org.eclipse.birt.report.debug.ui",1318392155125
