what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318217843205
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318217844041
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1318217858877
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1318217885261
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318217905632
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318217914649
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218114862
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218116715
executed,command,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1318218116723
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1318218118173
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318218135025
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1318218142017
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1318218152754
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218152785
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218154219
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218154400
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218155579
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318218156705
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1318218163576
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218182965
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218191171
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318218191199
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218202135
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318218207602
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1318218209150
