what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338380395
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318338382756
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338390137
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338403872
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1318338404006
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318338406986
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338419509
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338462177
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338463079
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338478272
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338487907
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338488115
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318338500979
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338515135
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338522159
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338523790
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338545764
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318338549419
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1318338552318
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318338553968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338603592
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338626989
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338628296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318338828929
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318338838637
