what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1318212851875
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318212853093
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318212886187
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1318212912781
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1318212913765
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1318212914703
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318212944937
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1318212980750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318212987812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318212987828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318212987906
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213177859
executed,command,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors.lineNumberToggle",1318213198796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213272859
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213272875
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1318213272937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213273015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213276765
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213277593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213323531
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1318213337359
executed,command,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1318213414250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213414921
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213416437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318213416468
