what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.core,1.2.0.v20090514,"org.eclipse.jst.jsf.core",1317951749406
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1317951750000
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1317951750078
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1317951750265
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1317951750328
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1317951751390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1317951751515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1317951753890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1317951755718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1317951755718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1317951755843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1317952201890
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1317952202000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1317952206140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1317952244781
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1317952250609
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1317952256484
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1317952256953
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1317952257046
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1317952257187
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1317952257484
started,bundle,org.eclipse.birt.report.debug.ui,2.5.0.v20090603,"org.eclipse.birt.report.debug.ui",1317952257906
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1317952257984
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1317952258890
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1317952258937
